index,lime_r2,shap_mse,hybrid_mse,anchor_prec,hybrid_prec
0,0.5403233658939566,999.0,999.0,0.9815668202764977,1.0
1,0.7199204984792621,999.0,999.0,0.95625,1.0
2,0.36295471498716836,999.0,999.0,0.9665071770334929,1.0
3,0.7050758659241074,999.0,999.0,0.9613970588235294,1.0
4,0.3368756461010478,999.0,999.0,0.9581993569131833,1.0
5,0.7069163415020099,999.0,999.0,0.9662447257383966,0.75
6,0.7228722065558262,999.0,999.0,0.9656652360515021,1.0
7,0.7136514218436895,999.0,999.0,0.863448275862069,1.0
8,0.5344593142027441,999.0,999.0,0.9913793103448276,1.0
9,0.34585814257116587,999.0,999.0,0.9669811320754716,1.0
