index,time_shap,time_formal_minimal,time_hybrid,accuracy_shap,accuracy_formal,accuracy_hybrid
0,0.03435516357421875,1.4898326396942139,1.1328794956207275,Variable (Low),100%,100%
1,0.02473592758178711,1.5152039527893066,1.1474461555480957,Variable (Low),100%,100%
2,0.02562117576599121,1.4484162330627441,1.0315971374511719,Variable (Low),100%,100%
3,0.03789019584655762,0.7286942005157471,0.5341243743896484,Variable (Low),100%,100%
4,0.028388500213623047,1.341372013092041,0.9671673774719238,Variable (Low),100%,100%
5,0.02337193489074707,1.3403046131134033,1.0195024013519287,Variable (Low),100%,100%
6,0.02742600440979004,1.3282978534698486,1.0362133979797363,Variable (Low),100%,100%
7,0.03794693946838379,0.9103109836578369,0.5857260227203369,Variable (Low),100%,100%
8,0.03158974647521973,1.3947548866271973,0.9828026294708252,Variable (Low),100%,100%
9,0.026212453842163086,1.4109151363372803,1.0853149890899658,Variable (Low),100%,100%
