index,time_shap,time_lime,time_formal,time_hybrid
0,0.04075121879577637,0.8448584079742432,1.0007638931274414,0.6197361946105957
1,0.03493690490722656,0.8732459545135498,1.514028549194336,1.1175646781921387
2,0.028839111328125,0.6894040107727051,1.4069797992706299,1.0202147960662842
3,0.02771592140197754,0.5257611274719238,1.4048874378204346,1.176778793334961
4,0.029012203216552734,0.7231512069702148,1.376101016998291,0.9744362831115723
5,0.02568984031677246,0.7199666500091553,0.8130059242248535,0.4748215675354004
6,0.02956676483154297,0.7437894344329834,1.291163682937622,0.9963376522064209
7,0.03235888481140137,0.9700467586517334,1.3838062286376953,1.0508403778076172
8,0.031691551208496094,0.22675323486328125,1.52219820022583,1.0295450687408447
9,0.03505086898803711,0.9772017002105713,1.4724853038787842,1.1429319381713867
